runseq,pid,bid,ketones,NEFA,Lactate,Glucose,Glycerol,Glucagon,Insulin,Leptin,Corticosterone,Insulin_uU/mL,Insulin_pM,insulin_glucagon_molar_ratio
134,10026517,90231,749,0.75,1.06,175,1.22,69.1,3440,58397,32,79.12,593.1,8.6
24,10026789,90232,636,0.89,1.12,193,1.14,42.1,3530,38471,37,81.19,608.6,14.5
123,10027327,90237,463,0.71,1.52,169,1.09,13,2278,37940,5,52.394,392.8,30.2
10,10023259,90217,867,0.69,0.94,181,0.97,27.1,3634,37155,11,83.582,626.6,23.1
82,10027599,90239,453,0.71,1.36,184,1.15,32.3,3262,45889,66,75.026,562.4,17.4
43,10027831,90240,656,1.27,1.37,188,1.4,28.3,2981,33895,16,68.563,514,18.2
79,10026002,90226,644,0.98,1.79,169,1.16,36.4,3674,39248,10,84.502,633.4,17.4
14,10025545,90221,311,0.43,2.28,175,1,10.7,3137,49461,10,72.151,540.9,50.5
88,10025464,90220,834,0.77,1.35,174,1,34.3,2909,33783,23,66.907,501.6,14.6
97,10024816,90219,883,0.53,1.24,167,0.67,4.2,1347,44655,20,30.981,232.2,55.3
107,10026274,90228,566,0.44,1.61,169,0.81,5,196,10814,62,4.508,33.8,6.8
